Weather Type,Game Title,Tags,Steam Rating,Weather Reasoning,Description,Playtime,Price Range
Rainy,Firewatch,"🌲 Atmospheric, 👤 Single-player, 📖 Story-Rich",92%,Rainy weather calls for introspective slower-paced experiences,The gentle patter of rain outside makes this the perfect time to lose yourself in the Wyoming wilderness. Firewatch's contemplative pace and stunning forest vistas create a cozy cocoon of storytelling.,4-6 hours,$19.99
Rainy,Stardew Valley,"🌱 Farming, 😌 Relaxing, 🎨 Pixel Art",96%,Indoor comfort gaming for rainy day coziness,There's something magical about tending virtual crops while real rain nourishes the world outside. The cozy pixel art and gentle gameplay create the perfect indoor sanctuary.,50+ hours,$14.99
Rainy,A Short Hike,"🏔️ Exploration, 🧘 Meditative, 🌿 Nature",98%,Virtual nature exploration when outdoor activities aren't appealing,When you can't take a real hike in the rain take a virtual one! This charming adventure captures the peaceful feeling of wandering through nature.,1-2 hours,$7.99
Rainy,Coffee Talk,"☕ Narrative, 🌙 Chill, 🎵 Music",94%,Cozy café vibes perfect for rainy evenings,Listen to customers' stories while brewing the perfect coffee. The rainy atmosphere outside matches the warm intimate café setting perfectly.,4-6 hours,$12.99
Rainy,Spiritfarer,"🚢 Emotional, 🎨 Beautiful, 😢 Heartfelt",92%,Contemplative journey perfect for reflective rainy moods,A cozy management game about caring for spirits. The emotional depth and beautiful art style create the perfect rainy day meditation.,20-30 hours,$29.99
Rainy,Night in the Woods,"🌃 Story-Rich, 🎭 Drama, 🔍 Mystery",88%,Small-town mysteries match rainy day introspection,Explore a dying rust belt town with deep characters and mysterious happenings. Perfect for when rain makes you want to dive into someone else's problems.,8-12 hours,$19.99
Rainy,Unpacking,"📦 Zen, 🏠 Meditative, 📖 Narrative",95%,Quiet methodical gameplay perfect for rainy afternoons,Unpack belongings and piece together life stories. The methodical peaceful gameplay is incredibly soothing during storms.,3-5 hours,$19.99
Rainy,Rain World,"🌧️ Survival, 🎨 Artistic, 💀 Challenging",79%,Literally raining in-game matches your weather,Navigate a harsh ecosystem where the rain cycle affects everything. When it's raining outside embrace the rain inside too.,15-25 hours,$19.99
Rainy,Ori and the Blind Forest,"🌲 Platformer, 😢 Emotional, 🎵 Musical",93%,Beautiful forest adventure for nature-loving rainy days,A stunning forest adventure with emotional storytelling. The lush environments feel perfect when you're stuck inside but yearning for nature.,8-12 hours,$19.99
Rainy,Journey,"✨ Transcendent, 🌅 Beautiful, 🧘 Meditative",95%,Introspective journey matching rainy day contemplation,A wordless adventure through mystical landscapes. The meditative gameplay perfectly matches the contemplative mood rain brings.,2-3 hours,$14.99
Rainy,Celeste,"🏔️ Platformer, 💪 Inspiring, 🧗 Challenging",94%,Overcoming challenges while sheltered from the storm,Climb a mountain while dealing with anxiety and depression. The metaphor of weathering internal storms resonates during actual storms.,12-18 hours,$19.99
Rainy,What Remains of Edith Finch,"📚 Narrative, 🎭 Atmospheric, 🏠 Mystery",92%,Mysterious family stories perfect for dark rainy atmospheres,Explore a mysterious family home and uncover tragic stories. The atmospheric storytelling thrives in contemplative rainy weather.,2-3 hours,$19.99
Rainy,Gris,"🎨 Art, 😢 Emotional, 🎵 Musical",91%,Emotional artistic journey for reflective weather,A watercolor masterpiece about grief and healing. The muted beautiful art style complements overcast rainy moods perfectly.,3-5 hours,$16.99
Rainy,Inside,"🌑 Dark, 🧩 Puzzle, 😰 Atmospheric",87%,Dark atmospheric puzzle-solving for stormy weather,A haunting puzzle-platformer with incredible atmosphere. The dark moody tone matches perfectly with stormy weather outside.,3-4 hours,$19.99
Rainy,The Stanley Parable,"🤖 Narrative, 😂 Comedy, 🤔 Meta",88%,Quirky narrative experiment for cozy indoor time,A bizarre office adventure that questions player choice. Perfect for rainy days when you want something completely different and thought-provoking.,4-8 hours,$14.99
Sunny,No Man's Sky,"🚀 Space, 🌍 Exploration, 🌈 Colorful",87%,Bright expansive experiences that match sunny energy,Brilliant sunshine deserves brilliant alien worlds! Your sunny mood is perfect for exploring vibrant planets and discovering new species under exotic skies.,50+ hours,$59.99
Sunny,Horizon Zero Dawn,"🏹 Action, 🌎 Open World, ⚡ Epic",89%,High-energy adventures that match sunny day motivation,Sunny weather gives you energy for epic adventures! Explore stunning post-apocalyptic landscapes with gorgeous outdoor environments and high-energy combat.,40-60 hours,$49.99
Sunny,The Witness,"🧩 Puzzle, 🏝️ Beautiful, 🌅 Zen",85%,Mental clarity games for bright focused days,Clear skies clear mind! This gorgeous puzzle island is perfect when sunshine has you feeling mentally sharp and ready for challenges.,25-40 hours,$39.99
Sunny,Subnautica,"🌊 Underwater, 🐠 Exploration, 🌈 Colorful",87%,Bright underwater worlds for sunny exploration moods,Crystal clear skies make us dream of crystal clear waters! Dive into vibrant underwater worlds full of colorful sea life and mysterious depths.,30-50 hours,$29.99
Sunny,Spider-Man Remastered,"🕷️ Action, 🏙️ Open World, ☀️ Heroic",91%,High-energy superhero action for energetic sunny days,Swing through sunny New York City as your friendly neighborhood Spider-Man. The bright energetic gameplay matches your sunny disposition perfectly.,20-30 hours,$59.99
Sunny,Forza Horizon 5,"🏎️ Racing, 🌴 Tropical, 🌞 Bright",92%,Fast-paced racing through beautiful sunny landscapes,Race through vibrant Mexican landscapes under brilliant blue skies. The sunny tropical setting and high-speed action capture that perfect sunny day energy.,30+ hours,$59.99
Sunny,Super Mario Odyssey,"🍄 Platformer, 🌈 Colorful, 😊 Joyful",97%,Pure joy and color that matches sunny happiness,Bright colorful and endlessly joyful - just like a perfect sunny day! Mario's latest adventure radiates the same positive energy as brilliant sunshine.,12-60 hours,$59.99
Sunny,Slime Rancher,"🐥 Cute, 🌱 Farming, 🌈 Cheerful",95%,Adorable farming simulation for bright happy moods,Raise adorable slimes on a colorful ranch. The bright cheerful art style and upbeat gameplay perfectly match the optimism of sunny weather.,20-40 hours,$19.99
Sunny,A Hat in Time,"👒 Platformer, 🎨 Colorful, 😄 Whimsical",94%,Whimsical platforming adventure for energetic sunny days,A delightful 3D platformer with incredible charm and vibrant worlds. The playful energy matches the boundless possibility feeling of perfect weather.,8-15 hours,$29.99
Sunny,Rocket League,"⚽ Sports, 🚗 Cars, ⚡ Fast-paced",87%,High-energy competitive action for active sunny moods,Fast-paced car soccer that gets your adrenaline pumping. The bright arenas and energetic gameplay capture that let's do something active sunny day feeling.,Infinite,$19.99
Sunny,Cities: Skylines,"🏙️ City Builder, 🌞 Optimistic, 🏗️ Creative",91%,Building bright futures under clear skies,Design and build your dream city under clear blue skies. The optimistic city-building perfectly matches the anything is possible feeling of sunny weather.,50+ hours,$29.99
Sunny,Portal 2,"🧪 Puzzle, 😂 Comedy, 🤖 Sci-fi",95%,Clever problem-solving for mentally energized sunny days,Brilliant puzzles with brilliant humor for brilliant sunny days. The clever energetic problem-solving matches the mental clarity that sunshine brings.,8-12 hours,$9.99
